target_quarter,nowcast_month,prediction
1965 Q1,1,5.825903030527126
1965 Q1,2,6.729176721774298
1965 Q1,3,8.07155062166985
1965 Q1,4,8.07155062166985
1965 Q2,1,5.3264597057929794
1965 Q2,2,5.432769404864117
1965 Q2,3,5.130525250389773
1965 Q2,4,5.130525250389773
1965 Q3,1,7.4245693483463135
1965 Q3,2,8.080974401433629
1965 Q3,3,9.771209776001129
1965 Q3,4,9.771209776001129
1965 Q4,1,4.900812399379808
1965 Q4,2,4.866019335804532
1965 Q4,3,5.399244020304028
1965 Q4,4,5.399244020304028
1966 Q1,1,6.3314080056395
1966 Q1,2,8.355488178103698
1966 Q1,3,9.764388880046512
1966 Q1,4,9.764388880046512
1966 Q2,1,6.948680453120179
1966 Q2,2,6.082936275143521
1966 Q2,3,6.686934088291217
1966 Q2,4,6.686934088291217
1966 Q3,1,5.337026426317675
1966 Q3,2,6.380529453911504
1966 Q3,3,7.80162876135258
1966 Q3,4,7.80162876135258
1966 Q4,1,4.536325735573721
1966 Q4,2,3.853009966475872
1966 Q4,3,2.5179407128546485
1966 Q4,4,2.5179407128546485
1967 Q1,1,4.107210102569237
1967 Q1,2,3.3738494491371664
1967 Q1,3,2.2982277582225272
1967 Q1,4,2.2982277582225272
1967 Q2,1,4.123668001270853
1967 Q2,2,3.3310965855607653
1967 Q2,3,3.2040511764031696
1967 Q2,4,3.2040511764031696
1967 Q3,1,3.314334563032865
1967 Q3,2,4.683534678205013
1967 Q3,3,3.0983422043517685
1967 Q3,4,3.0983422043517685
1967 Q4,1,2.1123999506476823
1967 Q4,2,4.670335661171984
1967 Q4,3,5.7678803293905325
1967 Q4,4,5.7678803293905325
1968 Q1,1,4.6708219753002025
1968 Q1,2,3.992230097063843
1968 Q1,3,5.76987588741877
1968 Q1,4,5.76987588741877
1968 Q2,1,4.63017644120673
1968 Q2,2,4.754491238376238
1968 Q2,3,5.155380155272482
1968 Q2,4,5.155380155272482
1968 Q3,1,4.892638767998975
1968 Q3,2,5.109732528853677
1968 Q3,3,4.220316683310816
1968 Q3,4,4.220316683310816
1968 Q4,1,3.9988453061350318
1968 Q4,2,5.1110703236016395
1968 Q4,3,5.530528117098955
1968 Q4,4,5.530528117098955
1969 Q1,1,5.012738970273957
1969 Q1,2,5.044838906794005
1969 Q1,3,4.093702647194061
1969 Q1,4,4.093702647194061
1969 Q2,1,4.277103542751464
1969 Q2,2,4.458457743622967
1969 Q2,3,3.491539249835022
1969 Q2,4,3.491539249835022
1969 Q3,1,3.969732199506224
1969 Q3,2,5.224063381522678
1969 Q3,3,3.0929075452442114
1969 Q3,4,3.0929075452442114
1969 Q4,1,4.184288490068171
1969 Q4,2,3.0175207484451185
1969 Q4,3,1.8091514963692041
1969 Q4,4,1.8091514963692041
1970 Q1,1,2.3317649851321716
1970 Q1,2,1.0239976750963802
1970 Q1,3,-0.44021616823973586
1970 Q1,4,-0.44021616823973586
1970 Q2,1,1.2954452919035337
1970 Q2,2,0.6530671652974649
1970 Q2,3,-1.1480033413832889
1970 Q2,4,-1.1480033413832889
1970 Q3,1,1.6776488853456049
1970 Q3,2,1.5497433818768744
1970 Q3,3,0.6633961692539179
1970 Q3,4,0.6633961692539179
1970 Q4,1,-2.567151964685061
1970 Q4,2,-5.658478891675483
1970 Q4,3,-2.7869342964701813
1970 Q4,4,-2.7869342964701813
1971 Q1,1,6.397804323545705
1971 Q1,2,5.992747191772548
1971 Q1,3,4.3837995669092304
1971 Q1,4,4.3837995669092304
1971 Q2,1,3.75563980123591
1971 Q2,2,3.626352443533678
1971 Q2,3,4.788645976208435
1971 Q2,4,4.788645976208435
1971 Q3,1,0.5999270284100474
1971 Q3,2,0.08323764694459657
1971 Q3,3,2.7448419431150746
1971 Q3,4,2.7448419431150746
1971 Q4,1,4.413104614510657
1971 Q4,2,4.392088052171574
1971 Q4,3,5.0893134012849215
1971 Q4,4,5.0893134012849215
1972 Q1,1,5.020515474591958
1972 Q1,2,5.68285253841512
1972 Q1,3,8.293434547480246
1972 Q1,4,8.293434547480246
1972 Q2,1,5.130519294178265
1972 Q2,2,4.8674172832913785
1972 Q2,3,4.852108333764923
1972 Q2,4,4.852108333764923
1972 Q3,1,4.090954650785927
1972 Q3,2,5.633696534420148
1972 Q3,3,5.823369161281124
1972 Q3,4,5.823369161281124
1972 Q4,1,6.210602970422254
1972 Q4,2,7.6226032500134915
1972 Q4,3,8.86113869326994
1972 Q4,4,8.86113869326994
1973 Q1,1,6.9625608290936185
1973 Q1,2,7.9517667254392626
1973 Q1,3,7.992307438930016
1973 Q1,4,7.992307438930016
1973 Q2,1,3.593393016900003
1973 Q2,2,3.5494881699075163
1973 Q2,3,2.5902341767519803
1973 Q2,4,2.5902341767519803
1973 Q3,1,5.16661525862383
1973 Q3,2,3.130003681165114
1973 Q3,3,3.960664964251911
1973 Q3,4,3.960664964251911
1973 Q4,1,2.9967838736271997
1973 Q4,2,2.430130018766262
1973 Q4,3,1.4358233887962588
1973 Q4,4,1.4358233887962588
1974 Q1,1,2.7498469595173187
1974 Q1,2,0.5200279414768733
1974 Q1,3,-0.0686084142246205
1974 Q1,4,-0.0686084142246205
1974 Q2,1,3.3385358708691166
1974 Q2,2,3.6733825153756605
1974 Q2,3,1.9783844857229236
1974 Q2,4,1.9783844857229236
1974 Q3,1,3.7569474441401165
1974 Q3,2,3.175351389578937
1974 Q3,3,-0.101813437744538
1974 Q3,4,-0.101813437744538
1974 Q4,1,1.778836928020218
1974 Q4,2,-2.8034592365530537
1974 Q4,3,-7.674274398148962
1974 Q4,4,-7.674274398148962
1975 Q1,1,0.36245044634063905
1975 Q1,2,-1.680732441632843
1975 Q1,3,-3.729832047851846
1975 Q1,4,-3.729832047851846
1975 Q2,1,-0.16235512025510035
1975 Q2,2,2.162172816430682
1975 Q2,3,2.4667761055311455
1975 Q2,4,2.4667761055311455
1975 Q3,1,2.3411058236158704
1975 Q3,2,4.423373768103888
1975 Q3,3,5.882999722659851
1975 Q3,4,5.882999722659851
1975 Q4,1,3.9667522116219116
1975 Q4,2,5.212257505196704
1975 Q4,3,5.3267774715325364
1975 Q4,4,5.3267774715325364
1976 Q1,1,7.112934762073096
1976 Q1,2,8.39060764978251
1976 Q1,3,8.610476704683403
1976 Q1,4,8.610476704683403
1976 Q2,1,7.0640987789203535
1976 Q2,2,4.308177659333051
1976 Q2,3,4.49627417207577
1976 Q2,4,4.49627417207577
1976 Q3,1,3.348979280659949
1976 Q3,2,3.1561927873174467
1976 Q3,3,2.964830816282213
1976 Q3,4,2.964830816282213
1976 Q4,1,2.535337269733721
1976 Q4,2,3.640027974407921
1976 Q4,3,5.93789666658163
1976 Q4,4,5.93789666658163
1977 Q1,1,3.2676872489536892
1977 Q1,2,3.8362056235175888
1977 Q1,3,4.9622545837852154
